name,start,end,type
fleet,1,3,String
equip,7,9,String
description,12,51,String
ac_type,54,54,String
bodytype,60,60,String
ac_range,65,68,Int
ac_speed,72,74,Int
ac_pax_cargo,79,80,String
ac_pax_only,89,95,String
ac_cargo_only,99,102,String
