name,start,end,type
record_type,1,1,String
operational_suffix,2,2,String
carrier,3,5,String
flight_number,6,9,String
itinerary_var_id,10,11,String
leg_sequence_number,12,13,Int
service_type,14,14,String
effective_date,15,21,Date
discontinue_date,22,28,Date
frequency,29,35,String
frequency_rate,36,36,Int
departure_station,37,39,String
passenger_departure_time,40,43,Int
aircraft_departure_time,44,47,Int
departure_utc_local_var,48,52,String
departure_terminal,53,54,String
arrival_station,55,57,String
aircraft_arrival_time,58,61,Int
passenger_arrival_time,62,65,Int
arrival_utc_local_var,66,70,String
arrival_terminal,71,72,String
aircraft_type,73,75,String
prbd,76,95,String
prbm,96,100,String
meal_service_note,101,110,String
joint_op_carriers,111,119,String
departure_international_domestic_status,120,120,String
arrival_international_domestic_status,121,121,String
secure_flight_indicator,122,122,String
itinerary_var_id_overflow,128,128,Int
aircraft_owner,129,131,String
cockpit_crew_employer,132,134,String
cabin_crew_employer,135,137,String
onward_flight_airline_designator,138,140,String
onward_flight_number,141,144,Int
onward_flight_rotation_layover,145,145,Int
onward_flight_operational_suffix,146,146,String
flight_transit_layover,148,148,Int
operating_airline_disclosure,149,149,String
traffic_restriction_code,150,160,String
traffic_restriction_code_leg_overflow_indicator,161,161,String
aircraft_configuration,173,192,String
departure_date_var,193,193,Int
arrival_date_var,194,194,Int
serial_number,195,200,Int
